numpy,depth
217,2096.487456666667
218,2224.8621200000007
219,2181.0970066666673
296,1852.9395099999995
297,1863.2710266666666
298,1827.3463433333338
299,1758.9796766666677
300,1549.5551100000014
301,1259.4874566666667
375,1296.6709433333342
376,1683.0896866666687
377,1642.0285666666662
378,1476.5807900000002
379,1304.6363433333336
380,1124.378566666667
381,932.9338499999996
453,1494.9874566666656
454,1639.0539599999995
455,1650.2797800000008
456,1620.270789999999
457,1405.7219000000005
458,1012.5119000000002
459,835.0741233333326
460,700.6852333333329
461,552.856343333333
462,420.4629333333336
532,1289.9489933333334
533,1422.57805
534,1509.7685666666666
535,1475.336343333334
536,1164.7418999999993
537,584.9685666666668
538,337.07078999999885
539,248.15856666666602
540,234.1563433333338
541,231.5863433333343
542,197.806113333332
543,193.65668666666707
611,1103.5374566666658
612,1132.425710000001
613,1169.9974566666665
614,1034.6552333333334
615,783.3674566666667
616,442.41967666666625
617,212.29847999999942
618,152.57157999999976
619,141.63523333333336
620,150.16523333333254
621,148.46158333333324
622,144.40745666666643
623,138.15472000000108
690,994.7731700000015
691,929.7586966666657
692,752.3174566666669
693,543.8296766666673
694,299.732443333333
695,173.52763333333394
696,118.48541666666713
697,107.46113999999956
698,116.4874566666659
699,102.58171333333178
700,122.5063433333329
701,127.61634333333365
702,120.28078999999951
703,115.17537000000023
752,1038.4874566666665
753,899.2269900000002
754,851.0826933333339
755,937.016866666666
756,1167.7502766666667
757,1247.099220000001
758,1226.3207899999989
768,922.4105333333333
769,711.4659499999995
770,501.6695299999989
771,381.885233333333
772,197.43412333333322
773,164.4641233333329
774,121.64412333333246
775,113.69675666666654
778,107.53675333333342
779,105.51527000000061
780,118.9263433333343
781,125.7285666666667
782,117.55412333333216
783,98.22258666666677
784,93.00027666666674
831,1056.6151166666668
832,1170.0984766666672
833,1130.2963433333332
834,1174.2874566666667
835,1228.675233333334
836,1297.2041233333325
837,1358.7019000000005
838,1314.8040833333334
839,1240.2323000000001
840,1343.6120799999992
841,1395.6041500000006
842,1302.32579
843,1069.3557933333332
844,896.1163233333322
845,1013.4999566666667
846,764.5178000000005
847,325.64801333333287
848,373.0922399999992
849,232.96634333333327
850,122.87856666666653
851,97.20301000000062
852,108.94864333333311
853,92.70212666666686
854,69.83602666666755
855,80.7552333333339
856,90.4691066666663
857,101.42948333333291
858,104.82522333333281
859,105.60078999999926
860,103.95856666666722
861,102.45412333333242
862,94.03190000000006
863,100.55776000000036
864,92.80660333333451
910,929.0499566666663
911,803.0638766666669
912,888.0985666666671
913,1343.8152333333328
914,1414.0030100000001
915,1530.0952333333337
916,1715.8007899999996
917,1865.7963433333348
918,1575.171900000001
919,772.9563433333332
920,1116.8063433333336
921,1570.7430100000006
922,1465.4630100000004
923,1369.5963433333334
924,1110.216343333333
925,602.7507899999988
926,326.3496766666663
927,118.54189666666552
928,85.24838333333396
929,97.32864666666637
930,95.08462333333246
931,88.73100999999977
932,118.0472799999984
933,95.57078999999914
935,66.51309666666569
936,79.64334333333323
937,100.50029333333359
938,117.7352333333337
939,138.90967666666754
940,121.69523333333359
941,115.86412333333278
942,98.87856666666622
943,103.97863999999906
990,1018.6318399999994
991,880.8341233333325
992,980.1907899999989
993,1488.5819000000006
994,1569.1607899999988
995,1644.4185666666656
996,1751.8030100000017
997,1842.7585666666662
998,1879.1274566666666
999,1838.7241233333316
1000,1772.119676666666
1001,1525.8174566666657
1002,1186.5918999999997
1003,795.729676666667
1004,402.21856666666633
1005,108.71592333333348
1006,112.80680666666618
1007,93.21870666666678
1008,92.78574333333309
1009,77.36217000000009
1010,70.00992666666761
1011,65.7643799999989
1012,77.77449333333428
1014,62.86245666666653
1015,67.33361000000068
1016,86.63444999999975
1017,100.45745666666643
1018,114.25856666666661
1019,116.67745666666582
1020,125.29634333333355
1021,122.8307899999992
1022,104.40523333333267
1023,99.25081333333216
1070,619.8187266666663
1071,533.9607899999995
1072,581.7707900000003
1073,1099.5541233333336
1074,1629.264123333334
1075,1685.4707899999996
1076,1785.9707899999994
1077,1891.5874566666673
1078,1970.7263433333349
1079,1935.718566666666
1080,1380.5274566666656
1081,408.42412333333306
1082,208.764123333333
1083,135.59782333333254
1084,93.41084999999973
1085,71.76018333333367
1088,101.20675333333385
1094,63.48745666666656
1095,71.24552000000062
1096,86.34130333333417
1097,92.4377399999991
1098,97.01424333333394
1099,111.96856666666626
1100,127.4452333333335
1101,136.2474566666657
1102,115.80078999999948
1103,90.20367333333262
1150,389.71222666666677
1151,233.25523333333376
1152,148.34190000000044
1153,242.88190000000046
1154,1182.0219000000004
1155,1728.8952333333334
1156,1830.7341233333339
1157,1727.515233333333
1158,1930.5296766666659
1159,2039.4796766666684
1160,1082.573010000001
1161,192.75412333333335
1162,130.2466666666661
1163,98.33902999999941
1164,78.02932666666726
1173,67.33361000000068
1174,64.362456666666
1175,82.37043333333342
1176,79.63617333333211
1177,86.08772000000099
1178,96.35854333333398
1179,93.20572000000028
1180,95.89614333333311
1181,100.48856666666624
1182,85.35523333333296
