vre,r,h,value
Windoffshore_Shallow,219,0,1.0
Windoffshore_Shallow,296,0,0.1
Windoffshore_Shallow,300,0,0.1
Windoffshore_Shallow,375,0,0.5
Windoffshore_Shallow,376,0,0.5
Windoffshore_Shallow,454,0,1.0
Windoffshore_Shallow,455,0,1.0
Windoffshore_Shallow,458,0,0.95
Windoffshore_Shallow,460,0,0.1
Windoffshore_Shallow,461,0,0.15
Windoffshore_Shallow,462,0,0.45
Windoffshore_Shallow,532,0,1.0
Windoffshore_Shallow,533,0,1.0
Windoffshore_Shallow,534,0,1.0
Windoffshore_Shallow,535,0,0.8
Windoffshore_Shallow,536,0,0.6
Windoffshore_Shallow,537,0,0.5
Windoffshore_Shallow,538,0,0.3
Windoffshore_Shallow,539,0,0.15
Windoffshore_Shallow,540,0,0.1
Windoffshore_Shallow,541,0,0.15
Windoffshore_Shallow,542,0,0.35
Windoffshore_Shallow,543,0,0.5
Windoffshore_Shallow,611,0,0.65
Windoffshore_Shallow,612,0,0.65
Windoffshore_Shallow,613,0,0.75
Windoffshore_Shallow,614,0,0.65
Windoffshore_Shallow,615,0,0.4
Windoffshore_Shallow,616,0,0.1
Windoffshore_Shallow,619,0,0.25
Windoffshore_Shallow,620,0,0.45
Windoffshore_Shallow,621,0,0.65
Windoffshore_Shallow,622,0,1.0
Windoffshore_Shallow,623,0,1.0
Windoffshore_Shallow,690,0,0.8
Windoffshore_Shallow,691,0,0.8
Windoffshore_Shallow,692,0,0.95
Windoffshore_Shallow,693,0,1.0
Windoffshore_Shallow,694,0,1.0
Windoffshore_Shallow,695,0,1.0
Windoffshore_Shallow,696,0,1.0
Windoffshore_Shallow,697,0,1.0
Windoffshore_Shallow,699,0,1.0
Windoffshore_Shallow,700,0,1.0
Windoffshore_Shallow,701,0,1.0
Windoffshore_Shallow,702,0,1.0
Windoffshore_Shallow,703,0,1.0
Windoffshore_Shallow,753,0,1.0
Windoffshore_Shallow,754,0,1.0
Windoffshore_Shallow,755,0,1.0
